"","generation","minFitness","maxFitness","meanFitness","medianFitness"
"81",81,888,3826,1700,1116
"82",82,868,5054,2285,1634
"83",83,600,3204,1818.2,1829
"84",84,598,3692,1560.8,1259
"85",85,630,6796,1899.8,1385
"86",86,658,1958,1120,964
"87",87,840,5768,1969.8,1433
"88",88,1066,6046,2668,2462
"89",89,528,7384,3802.8,3898
"90",90,712,5920,2228,1744
"91",91,820,3908,2043,1415
"92",92,578,5570,1826.8,1215
"93",93,716,6270,1796.2,1116
"94",94,872,8916,2927.4,1514
"95",95,772,6492,2609.2,1614
"96",96,768,4410,1868.6,961
"97",97,794,5050,2119,1624
"98",98,746,9486,3460,2883
"99",99,618,9782,3204.6,1600
"100",100,762,8212,3580.4,3619
"101",101,636,7622,2061.4,933
"102",102,694,3520,1365.4,972
"103",103,632,4964,2540.8,2124
"104",104,514,5458,2316.2,1751
"105",105,1158,10894,3324.2,2145
"106",106,502,6154,2360.2,1553
"107",107,894,9088,3810.4,2486
"108",108,688,6860,4388.2,4983
"109",109,922,7542,3910.8,4096
"110",110,830,6102,2713.2,1755
"111",111,890,11732,4596,3855
"112",112,824,8850,2977.2,1807
"113",113,958,9628,3494.4,2009
"114",114,1292,8340,3428.4,3395
"115",115,630,9006,3184.2,1029
"116",116,622,7052,3161.2,1799
"117",117,938,7866,3306.4,3000
"118",118,870,9392,3431.6,1957
